id,practice_id,sub_family_id,planet,people,prosperity,keyword,precision_of_recommendations,criteria,justification,test_1_1_1,test_1_1_2,test_x,correspondence,correspondence_link,target,formal_type,difficulty,misc_comments,odds,is_unmissable,cycle_de_vie,tags,actors,indicators,x_indicator,y_indicator,priority,recurrence,use_case
11,STR-1.09,1,A,B,B,Project framing,Define and challenge needs,"Is the chosen solution the most environmentally friendly? If not, is this choice justified by the user need?","The new service can bring better environmental efficiency, but it can also participate in the creation of additional environmental debt. All 3 dimensions (3P) must be able to show a benefit otherwise the positioning of the service may need to be reviewed.",Have you expressed alternative scenarios and assessed the Sustainable IT impact of each one of them?,Is the final choice guided by Sustainable IT performance?,,,,Strategy,RECO,**,,,0,Conception,#USE ;  #COM ; #VALUE,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Yes = 100 ; Partial = 50 ; No = 0,100,Medium,OnUpdate,Impact assessment is defined for challenging user needs coverage with regards to impacts
12,STR-1.C03,1,A,B,A,Project framing,Define and challenge needs,Does this service's business model take eco-design into account?,"When Sustainable IT is outside the business model, it is difficult to reconcile economic activity and Sustainable IT impacts, and this most often turns into trade-offs where immediate prosperity is favored over 3P.",Is the adaptation of the business model being considered to take eco-design into account?,,,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
13,STR-1.C04,1,B,B,B,Project framing,Define the stakes,"Are performance, accessibility, safety and sobriety aspects taken into account together?","In most cases, better technical performance is also synonymous with better environmental efficiency, the consumption of computing resources is lower, the transfer volumes are smaller, the algorithms are more efficient.",What decision rules are specified to optimize my digital service by mixing sobriety and performance?,,,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
14,STR-1.10,1,B,B,A,Project framing,Define the stakes,Are the Sustainable IT gains evaluated prior to the project?,"In the case of a service overhaul, it is easier to estimate the gains expected by the new service with reference to the current service. For a new service, the preliminary study will determine the savings hypotheses which will have to be refined during the project. The display of expected gains is an important marker to convince all stakeholders of the merits of the approach.",Have you quantified the environmental benefit of the project by doing eco-design or by deciding to avoid digital?,,,,,Strategy,RECO,**,,,0,Conception,#USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Medium,Once,Impact assessment
15,STR-1.C05,1,B,B,B,Project framing,Define the stakes,Is Sustainable IT part of the organisation's strategy and objectives?,"To enable a Sustainable IT approach in projects, it is essential that all decision-makers adhere to it, which is necessarily the case if Sustainable IT is part of the organisation's strategy. Otherwise, it will be difficult to carry out a Sustainable IT approach, because it will constantly be necessary to find justifications to continue that way. The project would be impacted and therefore perceived as less effective ""because of the Sustainable IT"".",Are all decision-making bodies ready to develop an eco-designed digital service in your organization at this time? Does the organisation's financial strength allow it to innovate?,,,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
16,STR-1.C06,1,B,B,B,Project framing,Anticipate the impacts,"Are market expectations, customers, suppliers and partners in line with a Sustainable IT approach?","The different sectors of activity have varying sensitivities to Sustainable IT, and for the same scope, certain organizations or categories of stakeholders have varying aspirations. Committing to a Sustainable IT approach and exposing it is easier if it corresponds to an issue for the given actors. The communication and expression of the Sustainable IT approach will be somewhat different depending on the maturity of the targetted market.",Have you carried out a market study to validate stakeholders' expectations with regard to Sustainable IT?,"Have you anticipated the evolution of these expectations, to offer a sustainable IT service even if the requests are not completely formalized at the start of the project, but evolve during the life of the service?",,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
17,STR-1.C07,1,B,B,A,Emergence,Anticipate the impacts,Are the challenges and expected benefits clearly identified?,"To capitalize on the innovation brought by Sustainable IT, it is important to determine the benefits of the approach, whether from a financial point of view,of competitive advantage of notoriety or of communication capacity. and recognition of being a committed player to reduce the impact of digital technology.","Have you quantified the financial (cost reduction, increase in turnover) and non-financial (communication, environment, innovation, standing out from the competition) gains?",,,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
18,STR-1.C08,1,B,A,B,Emergence,Anticipate the impacts,"Is the organization able to become more mature with respect to eco-design and its scope, with the realization of Sustainable IT projects?",The Sustainable IT approach must be present in all stages of implementation and this necessarily requires a Sustainable IT culture within the organization. Maturity will gradually increase with practice.,What proportion of project stakeholders are aware of or trained in Sustainable IT?,"Have the processes, tools and methods used been adapted to take into account the Sustainable IT challenges?",,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
19,STR-1.C09,1,B,B,B,Emergence,Know your stage of maturity / Audit phase,Is an audit of the existing service available to improve its Sustainable IT performance?,The main defaults of an existing service compared to the 3P can usefully serve as a basis for determining the areas where Sustainable IT performance can be improved with quick wins and deeper adaptations.,Do you need to audit what already exists in order to improve the project or do you have to start from scratch?,,,,,Strategy,CONSEIL,N/A,,,0,Revalorisation,,,,,,,0,
20,STR-1.11,1,B,B,A,Emergence,Know your stage of maturity,Are the financial budgets for the IT Sustainable aspects of the project evaluated?,"Sustainable IT will generate a new category of requirements that will have to be considered while approaching a project, and will require clearly identified budget lines. Although  Sustainable IT projects are often more efficient, less ""bulimic"" of ""trendy"" technologies and useless functionalities, the project loads in the end are reduced.",Do I have the material means? Is my equipment to renew or purchased and what will be the most ecological way to do it? Are human resources identified for each phase of the project? Are the financial means to carry out the eco-design project allocated?,,,,,Strategy,RECO,*,,,0,Acquisition,#COM ; #VALUE ; #GOV ; #FIN ;,Manager ; ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Once,Budget allocation
21,STR-1.12,1,B,C,B,Emergence,Know your stage of maturity,"Is material equipment to be renewed or purchased for the project, is the necessary additional equipment made available keeping in mind the principles of Sustainable IT?","The launch of new projects is often an opportunity to renew or supplement technical equipment. In line with the Sustainable IT approach, it would be the occasion to challenge a better use of the available equipment and to implement all possible solutions to preserve it.",Does the material purchase / renewal policy take into account Sustainable IT efficiency?,,,,,Strategy,RECO,*,,,0,Acquisition,#BUY ; #FIN ; #OBSO,ProjectMngr ; ProductOwner ;  ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Once,Configuration management
22,STR-1.13,1,A,A,B,Emergence,Know your stage of maturity,Are my human resources (identified for each phase) available?,The effectiveness of the Sustainable IT approach cannot be achieved without knowledge of the Sustainable IT issues by the people who will take part in the project.,Are the necessary Sustainable IT awareness-raising / training budgeted and planned?,,,,,Strategy,RECO,*,,,0,N/A,#COM ; #VALUE ; #METH ; #HR ;,ProjectMngr ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Once,Project framing describe required profiles for the team
23,STR-1.C10,1,B,B,B,Emergence,Know your stage of maturity,Are the sponsors and any resistance to the Sustainable IT approach identified?,"When the Sustainable IT approach is little installed in the operational model of the organization, struggles for influence will sometimes decide the future of Sustainable IT. To facilitate adoption, the brakes must be identified and the arguments to overcome resistance must be prepared in advance and made available to the sponsors of this approach.","Have you anticipated the resistance by setting out the arguments regarding the obstacles to the implementation of the approach: foreseeable obstacles, motivation, poor internal communication, management with little involvement, other heavy and priority projects, heavy and recent investments, regulations ,. ..?",,,,,Strategy,CONSEIL,N/A,,,0,N/A,,,,,,,0,
24,STR-1.14,1,B,A,B,Emergence,Strategy phase,"Are the Sustainable IT objectives clearly stated and shared by all stakeholders, internal or external to the organization?","Several actors, including those from outside the organization, can be involved in the project. The permeability of the Sustainable IT approach towards all stakeholders can identify / activate levers that stakeholders may not have spontaneously expressed.","Have you set up a formal communication of Sustainable IT objectives, accessible to all stakeholders?",Is the constitution of Sustainable IT objectives documented to allow its exposure to the actors involved?,,,,Strategy,RECO,*,,,0,Conception,#COM ; #GOV ; #HR,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Information broadcasting channels,Number of stakeholders,High,Once,Project framing
25,STR-1.15,1,B,B,A,Emergence,Estimate deadlines / Planning,Are the implementation deadlines envisaged?,"Managing project deadlines is always a central concern. So that Sustainable IT is not the element pointed out, the deadlines (more or less) linked to this approach must be expressed. The project deadline only occurs once in the life of the service, the sustainable IT gain or debt of the project will multiply throughout the life cycle of the project.",Have you quantified the benefits / over-costs of the Sustainable IT approach on the project schedule?,,,,,Strategy,RECO,*,,,0,Conception,#METH ;,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Medium,Once,Project framing
26,STR-1.16,1,B,B,A,Emergence,Strategy phase,Does digital service goals subscribe to one of SDG (Sustainable Development Goals)?,"It is required to ensure the service is compliant with at least one of the 17 SDG, in order to avoid services without real value.",Does the service cover at least one of the 17 SDG ?,,,,,Strategy,RECO,*,,,1,Conception,#USE ; #COM ; #VALUE ; #METH ; #GOV ;,ProjectMngr ; ProductOwner ; RSE/NR ;,(X / Y ) * 100,At least 1 SDG covered = 100 ; 0 SDG = 0,100,High,Once,Project framing
27,STR-2.01,2,A,A,B,Emergence,Qualify the team's profiles in relation to the production needs,Do we have the people with the most relevant technical skills for each element of the project?,"The Sustainable IT approach requires above all a strong business practice. It is difficult to optimize technical elements when the practice is not sufficiently anchored. Conversely, Sustainable IT optimizations are sometimes ""counter-intuitive"" and a good mastery of Sustainable IT and 3P is essential.",How many actors in each stage of the project have Sustainable IT training?,,,,,Strategy,RECO,*,,,0,N/A,#METH ; #HR ;,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Number of Trained to Sustainable IT,Number of team members,High,Periodic,Team members & contractors skills are detailed in project framing
28,STR-2.02,2,A,A,B,Emergence,Know your stage of maturity,Are the Sustainable IT referents listed and the list communicated to the actors of the project?,"Sustainable IT addresses a very large perimeter, which is difficult to fully understand in each phase of a project. It is essential that the professionals involved in the project can be assisted at all times by referents to deploy the best practices.",Who are the official referents of the project in terms of eco-design? internally or externally?,,,,,Strategy,RECO,*,,,0,N/A,#COM ; #METH ; #HR,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Once,Sustainable IT Advisor is designated
29,STR-2.03,2,A,A,A,Emergence,Know your stage of maturity,Is a strategy to raise the awareness of colleagues / partners / clients to Sustainable IT in place with steps allowing continuous improvement in practices?,"The adoption of Sustainable IT is a global approach, which should not be hampered by the ability to do everything right away, it is part of a progression that sets in as the practice progresses.",Is the Sustainable IT training plan implemented and followed?,,,,,Strategy,RECO,*,,,0,N/A,#METH ; #GOV,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Periodic,Education plan include awareness & traning
30,STR-2.04,2,A,A,B,Emergence,Support / Train teams and stakeholders in Sustainable IT,"Are internal and external stakeholders aware of, or even trained / certified in Sustainable IT?","Each stakeholder needs effective information on their area of ??expertise and action, only an adapted training plan can provide this effectiveness upstream of projects.",What training budget is allocated by type of profile?,,,,,Strategy,RECO,*,,,1,N/A,#COM ; #METH,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Number of Sustainable IT Awareness,Number of Staff member,High,Periodic,Education plan include awareness & traning . Communcation plan broadcast sustainable IT concerns
31,STR-2.C01,2,B,A,B,Emergence,,"Were the teams questioned before the launch of the project, was the impact assessed and communicated?","When Sustainable IT approach is integrated into the project management, component improvement feature is reached. Thus, project adapts itself and related processus to sustainability thanks to feebacks.",Are team feedback reviewed and discussed to improve Sustainable IT processes?,,,   ,,Strategy,CONSEIL,N/A,,,0,Revalorisation,,,,,,,0,
32,STR-2.C02,2,B,A,B,Emergence,"Question the teams, how my action will have an impact on the service",Do each internal and external stakeholders have the latitude to make decisions that may influence the impact of Sustainable IT?,"Project decisions that can have a significant impact on the environment must be able to be taken quickly. For this, it is essential to define the decision-making space of each actor and the validation mechanisms. In the absence of this clarification, erratic decisions, even for good reasons, could intervene and discredit the Sustainable IT approach, or lead to a form of self-censorship limiting the Sustainable IT benefits.",Is the decision-making circuit and autonomy having a Sustainable IT impact defined for each actor?,,,,,Strategy,CONSEIL,N/A,,,0,N/A,,,,,,,0,
33,STR-2.C03,2,A,B,A,Emergence,Expose the Sustainable IT approach Transmit awareness of Sustainable IT,Can my targets adhere to my Sustainable IT approach and how?,"The Sustainable IT approach is implemented for the good of the whole community, it would be a shame if this consideration remained confidential and did not participate in the collective awareness of the impact of digital services.",Have you planned a communication plan to evangelize on Sustainable IT aspects?,,,,,Strategy,CONSEIL,N/A,,,0,Revalorisation,,,,,,,0,
34,STR-2.05,2,B,B,A,Emergence,Expose the Sustainable IT approach Transmit awareness of Sustainable IT,Will the project with a Sustainable IT approach really meet the needs of my customers?,A Sustainable IT approach applied to a digital service can in some cases generate a little discomfort / disruption for users in their practices. A support or communication mechanism can easily address these points. And bring a significant valuation.,Do you measure customer satisfaction on Sustainable IT aspects?,,,,,Strategy,RECO,*,,,0,Conception,#USE ; #VALUE,ProjectMngr ; Manager ; RSE/NR ; ITMngr,(X / Y ) * 100,Managed = 100 ; Partial = 50 : Ignored = 0,100,Medium,Once,Project framing
35,STR-2.C04,2,B,A,B,Emergence,Lead multidisciplinary teams across the board,Are Sustainable IT aspects propagated and maintained across all stakeholders?,Obtaining and maintaining the commitment of stakeholders is an important point for Sustainable IT to become the de facto standard.,What is your frequency of Sustainable IT communication for each stakeholder profile?,,,,,Strategy,CONSEIL,N/A,,,0,Utilisation,,,,,,,0,
36,STR-3.01,3,A,C,B,Project framing,"Life cycle phase, start, maturity, shutdown","Are each of the life cycle phases (start-up, maturity, shutdown) identified with specific actions?",The LCA approach is a basis for taking into account Sustainable IT in the design of digital services. It allows actions to be associated with each stage of the life cycle.,Have you listed all the actions associated with Sustainable IT for the different project stages?,,,,,Strategy,RECO,*,,,0,Revalorisation,#USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH,Dev ; Designer ; ProjectMngr ; ProductOwner ; RSE/NR,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Low,OnUpdate,Impact assessment defines actions to reduce impact affected to actors
37,STR-3.02,3,A,B,B,Project framing,"Starting point, pre-existing or from scratch",Are LCA data reused in case of of an adaptation of an existing service?,LCA analyzes can be carried out on existing services in order to make them more efficient in the case of a redesign or adaptation of an existing service.,Have you made previous LCAs available to the project teams?,Is the LCA of this project made available for other projects?,,,,Strategy,RECO,**,,,0,Revalorisation,#USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH,Dev ; Designer ; ProjectMngr ; ProductOwner ; RSE/NR,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Low,OnUpdate,"Minimal LCA (""screening"") is available"
38,STR-3.03,3,B,B,A,Project framing,Define the stakes,"If I decide to redo my service, what do I keep of the old one and how do I clean it from the canvas?","Good optimization of Sustainable IT issues also involves the reuse of elements that have been designed with a consideration for Sustainable IT in order to avoid duplicating certain elements or having duplicate, or simply inactive, components which would only be maintained because the cleaning effort was not considered.",Are the reusable parts of the old site described?,Does a global archiving strategy for digital sites / services exist in the company?,,,,Strategy,RECO,*,,,0,Revalorisation,#MAINT ; #DEBT,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Reused components,Service size,Medium,OnUpdate,Impact assessment
39,STR-3.04,3,B,B,A,Project framing,Define the stakes,Can I recycle software component or existing content? Will I create reusable / recoverable value in other projects?,Modular design is a widely used business practice. Sustainable IT can benefit from these methods when each modular component is well described and its strengths or weaknesses are well identified.,"Is there a repository of shared software bricks (authentication, user account base, generic interconnection APIs, etc.)?",Is a global strategy for pooling / capitalizing on inter-project achievements in place in the company?,,,,Strategy,RECO,*,,,0,Revalorisation,#MAINT ; #DEBT ; #METH,ProjectMngr ;  ITMngr ;,(X / Y ) * 100,Reused components,Number of fatures,Medium,OnUpdate,Project framing
40,STR-3.C01,3,B,C,B,Project framing,Define the stakes,"How are the end-of-life phases managed, from the start or at the end of a project?","During design, each part of the project may have to possess different lifespans. It is important that all end-of-life procedures are expressed so that the footprint of unused and disabled components is zero.",Have you listed all the de-provisioning procedures?,"Will the modularity of the design allow a partial deprovisioning, with the abandonment of obsolete functionalities but keeping the implementation of certain business processes that are still useful?",,,,Strategy,CONSEIL,N/A,,,0,Fin de Vie,,,,,,,0,
41,STR-3.C02,3,C,C,A,Project framing,Define the stakes,"Is awareness of ""non-quality costs"" shared by all internal stakeholders?","The quality of the software produced has a direct impact on Sustainable IT aspects. Indeed, the defects generate multiple deliveries of successive new versions, the anomalies lead to the production of significant anomalies traces, and functionalities that consume more technical resources, sometimes for an unfulfilled result, therefore resources have been wasted for no results.","Are the quality defects recorded, analyzed and also dealt with on the Sustainable IT axis?",,,,,Strategy,CONSEIL,N/A,,,0,Administration,,,,,,,0,
42,STR-3.05,3,A,B,B,Project framing,Anticipate the impacts,"During an audit, are the following elements taken into account? When do I waste energy in my department? What are the excess or unnecessary pages / user journeys that should therefore be cleaned?","When the user journey is short, fewer components are implemented, flows are reduced, the service is easier to understand, so the Sustainable IT aspects are better taken into account.",Is energy consumption measured for each typical route on the site?,,,,,Strategy,RECO,**,,,0,Utilisation,#PERF ; #VOL ; #USE ; #VALUE ;,ProjectMngr ; ITMngr ; Staff,(X / Y ) * 100,Number of path analyzed,Number of User journey,Medium,OnUpdate,Assessment based on user journey map for analyzing size and loads  of usage and possible improvements
43,STR-3.06,3,A,B,A,Emergence,Set KPIs,Are the indicators to measure the effectiveness of my Sustainable IT approach identified and monitored?,"The measurement of certain elements is an objective which makes it possible to enhance the result of a Sustainable IT approach. The search for overly complex indicators can be counterproductive, it is better to focus on reliable and significant data and to change the number and precision of indicators as the organization and internal actors gain in maturity.",What indicators are defined to measure the effectiveness of my Sustainable IT approach?,,,,,Strategy,RECO,**,,,0,Administration,#PERF ; #VOL ; #SEC ; #USE ; #METH ; #GOV,ProjectMngr ; ProductOwner ; Manager ; RSE/NR ; ITMngr ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Periodic,Browser extension (ex: CHROME greenIT extension) used and exposed to assess efficiency
44,STR-3.C03,3,B,B,A,Emergence,Set KPIs,Are the tools to measure the effectiveness of my Sustainable IT approach identified and communicated?,Allowing actors to validate the results obtained by taking into account Sustainable IT is important because it allows everyone to take ownership of this approach and to situate their actions in this objective with tools adapted to each actor.,What tools have been selected to measure the effectiveness of my Sustainable IT approach?,,,,,Strategy,CONSEIL,N/A,,,0,Administration,,,,,,,0,
45,STR-3.07,3,B,B,B,Emergence,Determine Lifespan / Planning,Is the project's lifetime defined?,"A digital service can no longer be designed for eternity, it is closely linked to socio-economic environments. Thus, it should be able to question it regularly. This also has the advantage of not accumulating technical debts and of staying abreast of the most effective advances and practices in the areas of Sustainable IT which evolve very quickly.",Have you estimated the period during which the service will be useful?,,,,,Strategy,RECO,*,,,0,Fin de Vie,#PERF ; #VOL ; #SEC ; #USE,ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,,,,Medium,Once,Project framing
46,STR-3.C04,3,B,A,A,Emergence,"Learn, learn, over and over again",Are the experiences of past projects taken into account?,"Many projects within an organization have common principles, it is necessary to be able to rely on other projects to capitalize on the gains and benefits of Sustainable IT approaches of the past, and to enrich them with new knowledge or acquired practices.",How many post-mortem projects do you have available to capitalize on previous achievements?,,,,,Strategy,CONSEIL,N/A,,,0,Revalorisation,,,,,,,0,
47,STR-3.C05,3,B,A,A,Emergence,"Learn, learn, over and over again",Are there plans to capitalize on the experience of this project for the future?,Project methodologies frequently use postmortems to learn from past achievements and move forward. Sustainable IT must appear in these themes.,What documentary production is associated with the project for the Sustainable IT aspects?,,,,,Strategy,CONSEIL,N/A,,,0,Revalorisation,,,,,,,0,
48,STR-3.C06,3,B,B,A,Emergence,Set KPIs,"Do the indicators cover the elements for measuring, evaluating and estimating the level of Sustainable IT maturity, managing it, improving it and controlling it?","The Sustainable IT approach is iterative, it must be part of a process of continuous improvement.",Are the data sources for the indicators reliable?,,,,,Strategy,CONSEIL,N/A,,,0,Administration,,,,,,,0,
49,STR-3.08,3,A,A,B,Emergence,Anticipate the impacts,Is sustainable IT compliance exposed to users ?,"Digital service built to be compliant with sustainable IT recommendations must report strength and weakness identified. This should be done in the same way as accessibility report delivered in the ""accessibility statement"" page on web sites.","Is ""Sustainable IT statement"" available for the service?",,,,,Strategy,RECO,*,,,1,Conception,#USE ; #COM ; #VALUE ; #METH ; #GOV ;,ProjectMngr ; ProductOwner ; RSE/NR ;,(X / Y ) * 100,Document validated and exposed = 100 ; Partall = 50 ; Planned = 25 ; No = 0,100,High,Once,"Document ""Sustainable IT statement"""
50,STR-4.C01,4,B,B,B,Emergence,Define and challenge needs,"Apart from the elements constituting the digital service, what are the necessary ancillary services: third-party / open source technology, green hosting, eco-responsible digital agency ...?","The design, development and production phases have impacts on Sustainable IT aspects which must be addressed in all the resources associated with the project.",Is the technical annex of the project formalized?,,,,,Strategy,CONSEIL,N/A,,,0,Acquisition,,,,,,,0,
51,STR-4.C02,4,A,B,B,Project framing,Define main and secondary functions,Is each function of the service understood in terms of its importance in the service?,"The most important functions sometimes consume less resources than marginal functions, which does not make sense in a coherent Sustainable IT approach.",Have you applied an 80/20 approach for each function in relation to its environmental footprints and its importance?,,,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
52,STR-4.01,4,C,C,B,Project framing,"Regulatory security constraints (access to INS health data, National health identification, identification of professionals) and interoperability","Is regulated data (health, banking, etc.) used throughout the system?","The user's exposure must be able to be strictly controlled. Beyond regulation, it is also the human dimension of Sustainable IT that is at stake.",Is each regulated data justified and identified?,,,,,Strategy,RECO,*,,,0,Conception,#SEC ; #USE ; #LEG,ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Once,Risks analysis
